Original Text,Translated in English,Topic
"Nie jestem przekonana, że tłumaczenie byłoby wykonane w przystępny i zrozumiały sposób i byłoby identyczne zachowując niuanse i specyfikę każdego z języków (np. powszechnie używane słownictwo czy preferowane słowa)",I am not convinced that the translation would be made in an accessible and understandable way and would be identical by keeping the nuances and specifics of each language (e.g. commonly used vocabulary or preferred words),language
Fast and furious,Fast and furious,understanding
keine aber ich muss nochmal an den döner erinnern,None but I have to remember the kebab again,understanding
Hsj,Hsj,nothing
Łatwiej korzystać w języku ojczystym,It is easier to use in the native language,ease of use
trudno mi ocenić ale obawiam się nierzetelnego tłumaczenia,It's hard for me to judge but I'm afraid of an unreliable translation,human translation
"La IA, no puede encontrar la sutileza del idioma. No está tan perfeccionada.",AI cannot find the subtlety of the language. It is not so perfected.,language
"Ak by bol strojový preklad, využil by som angličtinu",If the machine translation were I would use English,machine translation
dobro se snalazim,I'm doing well,ease of use
Mauvaise lecture de la grammaire de l'orthographe et/ou de la syntaxe des phrases,Bad reading of the grammar of spelling and/or the syntax of the sentences,machine translation
I have a lot of things that are in the process of getting the first one of the best ways to make a change in my life,I have a lot of things that are in the process of getting the first one of the best ways to make a change in my life,ease of use
Bonne,Good,nothing
meno accurata,less accurate,reliability
Die rechtlichen Aspekte müssen korrekt übersetzt sein.,The legal aspects must be translated correctly.,information
Nie wiem,I don't know,nothing
nessuna,none,nothing
"Influenzerebbe nel mondo tecnico, nello specifico nella szeione PRADO. Termini che in inglese hanno quel singolo significato, in italiano potrebbero averne diversi. Quindi NON traduzione automatica.","It would influence the technical world, specifically in Szeione Prado. Terms that in English have that single meaning, in Italian they could have different ones. So not automatic translation.",human translation
Interested,Interested,language
Effet pratique avancé,Advanced practical effect,language
Will not guarantee a safe and secure result,Will not guarantee a safe and secure result,ease of use
HAY PALABRAS QUE NO SIGMIFICAN LO MISMOS ASI SE UTILICE EL ESPAÑOL,There are words that do not sign the same so the Spanish is used,language
La traduction automatique n'est pas toujours fidèle,Automatic translation is not always faithful,human translation
Nie lubię maszyn,I don't like machines,machine translation
"Supongo que para muchos un alivio, pero dado que ya existe la traducción automática mediante google chrome la respuesta seria: LEVE","I suppose that for many a relief, but since there is already automatic translation by Google Chrome the answer would be: Mild",human translation
Poco,Bit,nothing
Olisi hyvä ottaa kantaa eri asioihin.,It would be good to take a stand on different things.,language
