Original Text,Translated to English,Topic
Ninguna,None,nothing
Przydałoby się więcej informacji na temat rodzaju zabezpieczeń dokumentów badz opis jak weryfikować autentyczność konkretnego dokumentu,It would be more important to be more information on the type of security of documents or a description of how to verify the authenticity of a specific document,document
If made easy,If made easy,document
Nein,No,nothing
Id like better and faster updates on official documents renewals.,Id like better and faster updates on official documents renewals.,document
I don't have experience to be shared yet but In a near future It will be different,I don't have experience to be shared yet but In a near future It will be different,opinion
Samo jako,Just very much,website
"nope aber macht bitte döner wieder auf 5 euro, danke.","Nope, however, please make doners to 5 euros again, thanks.",document
D kdj,D kdj,nothing
Nu,Not,nothing
Nope,Nope,comment
proszę uaktualnić dane o nowy paszport ukraiński,Please update the data for a new Ukrainian passport,passport
No,No,nothing
"Vijesti iz Palestine nedostaju ... Odobravate li stradanje naroda u Palestini, nađite način da spasite narod","Palestine news is missing ... Do you approve the suffering of the people in Palestine, find a way to save the people",opinion
a Prado felületen a specimeneket frissíteni kell,Specimen should be updated on the Prado interface,document
None,None,nothing
I am a migrant,I am a migrant,information
Não,No,nothing
Non,Non,nothing
NON,NON,nothing
Yes,Yes,nothing
Gracias por colaborar con la seguridad internacional. Algunos países no tenemos modelos de pasaportes.,Thanks for collaborating with international security. Some countries do not have passport models.,passport
Nie,NO,nothing
no,no,nothing
"Buongiorno, nella sezione PRADO inserire una mail di riferimento sulla quale potersi appoggiare in caso di bisogno o accertamento piu' approfondito. La mail che c'è, pur avendo scritto piu' volte, non si ha risposta. Grazie","Good morning, in the Prado section insert a reference email on which to be able to support yourself in case of more in -depth need or assessment. The email that is there, despite having written several times, is no answer. Thank you",email
Good,Good,nothing
"More information accessibility, but I understand the limitations.","More information accessibility, but I understand the limitations.",information
DESEARIA QUE HUBIERA MAS VIDEOS EXPLICATIVOS DE LA UNION EUROPEA Y ZONA EURO,I wish there were more explanatory videos of the European Union and EURO,opinion
Aucune pour l'instant,None for the moment,nothing
Tópicos de cada tema que o site aborda,Topics of each theme that the site addresses,opinion
Erittäin hyvä sivusto.,Very good site.,opinion
No,No,nothing
Basic information on home page. Explain clearly the institution and function. And details how it fits in to the EU system,Basic information on home page. Explain clearly the institution and function. And details how it fits in to the EU system,opinion
non,non,nothing
"No tengo comentario todavía, no he explorado toda la página","I have no comment, I have not explored the entire page",comment
Je ne sais pas ?,I don't know ?,nothing
"Auf der Seite Mitglieder des Europäischen Rates fehlt mir eine email Adresse, um den Mitgliedern direkt zu schreiben","On the page members of the European Council page, I lack an email address to write the members directly",email
"stručnost,popis,chovaní","brevity, description, breeding",document
Πιο αναλυτικές ανακοινώσεις,More detailed announcements,information
No,No,nothing
no,no,nothing
Ottimo lavoro e conltabile normalmente,Great job and uncable normally,opinion
Vanno indicati gli indirizzi e-mail del Segretario Generale della Commissione Europea.,The e-mail addresses of the European Commission Secretary General must be indicated.,email
Tutte le pagine (comprese le immagini e le didascalie) devono essere disponibili in tutte le 24 lingue ufficiali.,All pages (including images and captions) must be available in all 24 official languages.,translation
"RAS ! de toute façon , l'avis des citoyens ne compte pas pour UE !!!!!!!","RAS! Anyway, the opinion of citizens does not count for EU !!!!!!!",opinion
What makes the Council's website particularly complex is the fact that the EU is complex. A few explainers for those of us who don't 'live the EU' every day would help immensely in navigating the website.,What makes the Council's website particularly complex is the fact that the EU is complex. A few explainers for those of us who don't 'live the EU' every day would help immensely in navigating the website.,website
per adesso no,not now,nothing
Veebilehel liikumist lihtsustavad alati hästi töötavad otsingumootorid.,Moving on the website is always facilitated by well -running search engines.,search engine
Que los estados miembros den más información a sus ciudadanos de todas las directivas y reglamentos que se aprueban y sus consecuencias. Apenas sabemos lo que se hace en Europa y la realidad es que es mucho más importante de los que se aprueba en los parlamentos nacionales,That the Member States give more information to their citizens of all directives and regulations that are approved and their consequences. We barely know what is done in Europe and the reality is that it is much more important than those approved in national parliaments,information
